2/10/2019

World Population - Continent Alphabetical, Country by Population Descending
--------------------------------------------------------------------------------------------------
Continent Region,Country,Population
--------------------------------------------------------------------------------------------------
Africa,"Nigeria",195874740
Africa,"Ethiopia",109224559
Africa,"Egypt, Arab Rep.",98423595
Africa,"Congo, Dem. Rep.",84068091
Africa,"South Africa",57779622
Africa,"Tanzania",56318348
Africa,"Kenya",51393010
Africa,"Uganda",42723139
Africa,"Algeria",42228429
Africa,"Sudan",41801533
Africa,"Morocco",36029138
Africa,"Angola",30809762
Africa,"Ghana",29767108
Africa,"Mozambique",29495962
Africa,"Madagascar",26262368
Africa,"Cameroon",25216237
Africa,"Cote d'Ivoire",25069229
Africa,"Niger",22442948
Africa,"Burkina Faso",19751535
Africa,"Mali",19077690
Africa,"Malawi",18143315
Africa,"Zambia",17351822
Africa,"Senegal",15854360
Africa,"Chad",15477751
Africa,"Somalia",15008154
Africa,"Zimbabwe",14439018
Africa,"Guinea",12414318
Africa,"Rwanda",12301939
Africa,"Tunisia",11565204
Africa,"Benin",11485048
Africa,"Burundi",11175378
Africa,"Togo",7889094
Africa,"Sierra Leone",7650154
Africa,"Libya",6678567
Africa,"Congo, Rep.",5244363
Africa,"Liberia",4818977
Africa,"Central African Republic",4666377
Africa,"Mauritania",4403319
Africa,"Namibia",2448255
Africa,"Gambia, The",2280102
Africa,"Botswana",2254126
Africa,"Gabon",2119275
Africa,"Lesotho",2108132
Africa,"Guinea-Bissau",1874309
Africa,"Equatorial Guinea",1308974
Africa,"Mauritius",1265303
Africa,"Eswatini",1136191
Africa,"Djibouti",958920
Africa,"Comoros",832322
Africa,"Cabo Verde",543767
Africa,"Sao Tome and Principe",211028
Africa,"Seychelles",96762
Africa,"Eritrea",null
,Total Population for Africa,=sum(C7:C59)


Asia,"China",1392730000
Asia,"India",1352617328
Asia,"Indonesia",267663435
Asia,"Pakistan",212215030
Asia,"Bangladesh",161356039
Asia,"Japan",126529100
Asia,"Philippines",106651922
Asia,"Vietnam",95540395
Asia,"Turkey",82319724
Asia,"Iran, Islamic Rep.",81800269
Asia,"Thailand",69428524
Asia,"Myanmar",53708395
Asia,"Korea, Rep.",51635256
Asia,"Iraq",38433600
Asia,"Afghanistan",37172386
Asia,"Saudi Arabia",33699947
Asia,"Uzbekistan",32955400
Asia,"Malaysia",31528585
Asia,"Yemen, Rep.",28498687
Asia,"Nepal",28087871
Asia,"Korea, Dem. People's Rep.",25549819
Asia,"Sri Lanka",21670000
Asia,"Kazakhstan",18276499
